benchmark,average cycles
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/baseline/res_convolution.csv,2392
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/baseline/res_matmul_i8.csv,65306
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/baseline/res_matmul_i16.csv,70078
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/baseline/res_matmul_i32.csv,33311
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/xpulp/res_convolution.csv,2013
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/xpulp/res_matmul_i8.csv,15597
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/xpulp/res_matmul_i16.csv,23310
/scratch/bsc22f8/git/benchmark/multicore/rtl-results/xpulp/res_matmul_i32.csv,25664
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/baseline/res_convolution.csv,1940
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/baseline/res_matmul_i8.csv,63102
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/baseline/res_matmul_i16.csv,63124
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/baseline/res_matmul_i32.csv,32404
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/xpulp/res_convolution.csv,1584
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/xpulp/res_matmul_i8.csv,24774
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/xpulp/res_matmul_i16.csv,39906
/scratch/bsc22f8/git/benchmark/multicore/banshee-results/xpulp/res_matmul_i32.csv,49291
